loan_amnt,term,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,target_default,issue_year
16000.0, 36 months,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,small_business,AL,18.96,675.0,679.0,0.0,7.0,1.0,5157.0,54.3,20.0,Individual,0.0,0.0,1,2015
24250.0, 60 months,4 years,MORTGAGE,75000.0,Not Verified,Dec-2015,debt_consolidation,NY,20.84,660.0,664.0,0.0,18.0,0.0,24799.0,65.3,21.0,Individual,2.0,0.0,1,2015
12000.0, 36 months,1 year,RENT,98000.0,Not Verified,Dec-2015,debt_consolidation,WA,24.04,690.0,694.0,0.0,15.0,1.0,20462.0,62.8,39.0,Individual,8.0,0.0,0,2015
25000.0, 60 months,9 years,MORTGAGE,79000.0,Not Verified,Dec-2015,debt_consolidation,MD,34.53,730.0,734.0,1.0,33.0,0.0,22519.0,18.6,72.0,Individual,6.0,0.0,1,2015
7000.0, 36 months,10+ years,MORTGAGE,59000.0,Not Verified,Dec-2015,credit_card,MD,13.06,730.0,734.0,1.0,10.0,0.0,10467.0,24.2,34.0,Individual,3.0,0.0,0,2015
21000.0, 60 months,< 1 year,RENT,52000.0,Source Verified,Dec-2015,credit_card,OH,14.47,680.0,684.0,1.0,5.0,0.0,20374.0,87.4,15.0,Individual,0.0,0.0,0,2015
27500.0, 60 months,10+ years,MORTGAGE,195000.0,Not Verified,Dec-2015,other,LA,6.79,700.0,704.0,0.0,14.0,0.0,34974.0,50.9,19.0,Individual,1.0,0.0,0,2015
7200.0, 36 months,10+ years,MORTGAGE,72500.0,Verified,Dec-2015,home_improvement,GA,8.47,725.0,729.0,1.0,5.0,0.0,5449.0,35.2,7.0,Individual,2.0,0.0,0,2015
20000.0, 36 months,6 years,RENT,110000.0,Not Verified,Dec-2015,credit_card,IL,12.45,690.0,694.0,0.0,8.0,0.0,21374.0,84.5,12.0,Individual,0.0,0.0,0,2015
20000.0, 36 months,5 years,RENT,70000.0,Not Verified,Dec-2015,house,FL,22.21,680.0,684.0,0.0,24.0,0.0,19077.0,36.6,63.0,Individual,1.0,0.0,0,2015
10000.0, 60 months,2 years,MORTGAGE,55000.0,Not Verified,Dec-2015,credit_card,CO,35.7,685.0,689.0,0.0,14.0,0.0,38623.0,78.0,28.0,Individual,6.0,0.0,1,2015
20000.0, 36 months,5 years,RENT,75000.0,Not Verified,Dec-2015,debt_consolidation,WA,23.45,725.0,729.0,0.0,14.0,0.0,7558.0,9.6,26.0,Individual,1.0,0.0,0,2015
8650.0, 36 months,< 1 year,MORTGAGE,100000.0,Not Verified,Dec-2015,credit_card,IN,7.28,750.0,754.0,0.0,15.0,0.0,7158.0,26.7,24.0,Individual,1.0,0.0,0,2015
21000.0, 60 months,2 years,RENT,54649.0,Source Verified,Dec-2015,debt_consolidation,TX,12.14,670.0,674.0,0.0,9.0,1.0,1581.0,26.8,44.0,Individual,2.0,1.0,0,2015
7200.0, 36 months,< 1 year,RENT,55000.0,Not Verified,Dec-2015,debt_consolidation,NY,17.35,680.0,684.0,0.0,24.0,1.0,5938.0,69.0,43.0,Individual,0.0,0.0,0,2015
8800.0, 36 months,10+ years,MORTGAGE,92000.0,Source Verified,Dec-2015,credit_card,MI,5.18,665.0,669.0,1.0,9.0,0.0,9195.0,76.6,24.0,Individual,2.0,0.0,0,2015
2500.0, 36 months,10+ years,MORTGAGE,50000.0,Verified,Dec-2015,other,FL,17.6,670.0,674.0,4.0,7.0,0.0,732.0,31.1,22.0,Individual,0.0,0.0,0,2015
11000.0, 36 months,10+ years,MORTGAGE,69000.0,Not Verified,Dec-2015,credit_card,OH,21.34,680.0,684.0,1.0,9.0,0.0,8137.0,84.8,18.0,Individual,2.0,0.0,0,2015
10000.0, 36 months,4 years,MORTGAGE,91392.0,Not Verified,Dec-2015,house,MO,9.44,710.0,714.0,0.0,13.0,0.0,6959.0,41.7,33.0,Individual,3.0,0.0,0,2015
28000.0, 60 months,10+ years,MORTGAGE,75000.0,Verified,Dec-2015,debt_consolidation,IN,31.88,685.0,689.0,0.0,27.0,0.0,43413.0,51.9,46.0,Individual,2.0,0.0,0,2015
35000.0, 60 months,10+ years,MORTGAGE,128000.0,Source Verified,Dec-2015,home_improvement,DC,6.46,685.0,689.0,0.0,17.0,0.0,14277.0,27.4,46.0,Individual,5.0,0.0,0,2015
7200.0, 36 months,10+ years,MORTGAGE,50000.0,Not Verified,Dec-2015,debt_consolidation,MA,19.25,675.0,679.0,0.0,13.0,0.0,9051.0,47.6,25.0,Individual,3.0,0.0,0,2015
10000.0, 36 months,2 years,RENT,40100.0,Not Verified,Dec-2015,credit_card,OH,10.81,680.0,684.0,1.0,4.0,0.0,6664.0,45.0,7.0,Individual,0.0,0.0,0,2015
16000.0, 60 months,1 year,RENT,42000.0,Not Verified,Dec-2015,credit_card,MA,9.6,670.0,674.0,0.0,29.0,0.0,11834.0,44.8,48.0,Individual,0.0,0.0,1,2015
21875.0, 36 months,< 1 year,RENT,47590.0,Source Verified,Dec-2015,credit_card,FL,17.76,700.0,704.0,0.0,9.0,0.0,24882.0,57.1,14.0,Individual,0.0,0.0,0,2015
14025.0, 60 months,10+ years,MORTGAGE,39000.0,Verified,Dec-2015,debt_consolidation,WI,18.0,675.0,679.0,1.0,12.0,0.0,15646.0,74.9,21.0,Individual,3.0,0.0,0,2015
35000.0, 60 months,7 years,MORTGAGE,106000.0,Source Verified,Dec-2015,debt_consolidation,AL,17.36,730.0,734.0,0.0,8.0,0.0,39055.0,72.1,27.0,Individual,4.0,0.0,1,2015
20000.0, 36 months,10+ years,MORTGAGE,145000.0,Not Verified,Dec-2015,debt_consolidation,RI,12.28,695.0,699.0,0.0,12.0,0.0,22551.0,80.2,21.0,Individual,5.0,0.0,0,2015
14000.0, 60 months,2 years,MORTGAGE,60000.0,Not Verified,Dec-2015,debt_consolidation,AZ,24.29,690.0,694.0,0.0,11.0,0.0,12718.0,73.9,24.0,Individual,0.0,0.0,1,2015
20000.0, 60 months,10+ years,OWN,70000.0,Source Verified,Dec-2015,debt_consolidation,MD,16.9,680.0,684.0,0.0,20.0,0.0,31200.0,42.0,35.0,Individual,0.0,0.0,1,2015
4200.0, 36 months,10+ years,MORTGAGE,102500.0,Not Verified,Dec-2015,debt_consolidation,NY,26.21,700.0,704.0,0.0,14.0,0.0,11947.0,88.5,37.0,Individual,7.0,0.0,0,2015
19000.0, 60 months,9 years,OWN,75000.0,Not Verified,Dec-2015,credit_card,NY,13.09,665.0,669.0,2.0,15.0,0.0,17771.0,63.7,34.0,Individual,3.0,0.0,0,2015
15850.0, 60 months,10+ years,OWN,45000.0,Not Verified,Dec-2015,debt_consolidation,OH,34.85,755.0,759.0,1.0,18.0,0.0,8799.0,21.3,24.0,Individual,0.0,0.0,0,2015
30000.0, 36 months,2 years,MORTGAGE,175000.0,Not Verified,Dec-2015,home_improvement,OH,18.5,725.0,729.0,1.0,9.0,0.0,21831.0,50.3,23.0,Individual,3.0,0.0,0,2015
1500.0, 36 months,,MORTGAGE,45000.0,Not Verified,Dec-2015,vacation,HI,16.11,745.0,749.0,0.0,12.0,0.0,3717.0,21.2,37.0,Individual,4.0,0.0,0,2015
25000.0, 36 months,1 year,MORTGAGE,150000.0,Not Verified,Dec-2015,credit_card,VT,9.54,795.0,799.0,0.0,7.0,0.0,19339.0,42.5,18.0,Individual,7.0,0.0,0,2015
20200.0, 60 months,4 years,RENT,60000.0,Source Verified,Dec-2015,debt_consolidation,CA,34.84,720.0,724.0,0.0,10.0,1.0,8284.0,40.6,16.0,Individual,0.0,1.0,1,2015
23975.0, 60 months,10+ years,RENT,70000.0,Not Verified,Dec-2015,credit_card,VA,33.2,685.0,689.0,1.0,10.0,0.0,44807.0,94.9,19.0,Individual,3.0,0.0,1,2015
15000.0, 60 months,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,debt_consolidation,AL,29.28,720.0,724.0,0.0,18.0,0.0,24723.0,69.8,32.0,Individual,1.0,0.0,0,2015
10000.0, 36 months,3 years,MORTGAGE,41600.0,Not Verified,Dec-2015,debt_consolidation,IN,15.78,695.0,699.0,0.0,18.0,0.0,12958.0,52.5,33.0,Individual,2.0,0.0,0,2015
15000.0, 36 months,6 years,MORTGAGE,110000.0,Not Verified,Dec-2015,credit_card,NJ,13.24,670.0,674.0,0.0,16.0,1.0,19029.0,41.4,33.0,Individual,4.0,1.0,0,2015
23100.0, 60 months,2 years,OWN,110000.0,Not Verified,Dec-2015,car,DE,20.43,660.0,664.0,0.0,11.0,0.0,20594.0,94.9,24.0,Individual,2.0,0.0,1,2015
27300.0, 36 months,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,home_improvement,NY,25.63,660.0,664.0,0.0,14.0,0.0,31035.0,83.0,38.0,Individual,2.0,0.0,1,2015
25000.0, 60 months,10+ years,MORTGAGE,135000.0,Not Verified,Dec-2015,credit_card,TX,4.65,705.0,709.0,0.0,16.0,0.0,7340.0,13.5,33.0,Individual,5.0,0.0,0,2015
15000.0, 36 months,1 year,RENT,40000.0,Verified,Dec-2015,credit_card,TX,10.17,670.0,674.0,0.0,7.0,0.0,12272.0,75.3,9.0,Individual,0.0,0.0,0,2015
10000.0, 60 months,< 1 year,RENT,30000.0,Source Verified,Dec-2015,debt_consolidation,OH,30.84,715.0,719.0,2.0,19.0,1.0,6118.0,26.6,36.0,Individual,0.0,1.0,0,2015
18500.0, 60 months,10+ years,MORTGAGE,70000.0,Source Verified,Dec-2015,debt_consolidation,TX,13.2,675.0,679.0,1.0,9.0,0.0,15883.0,57.8,19.0,Individual,2.0,0.0,0,2015
5000.0, 36 months,6 years,RENT,32000.0,Source Verified,Dec-2015,credit_card,OH,13.73,685.0,689.0,0.0,7.0,1.0,5552.0,41.1,10.0,Individual,0.0,1.0,0,2015
9000.0, 36 months,1 year,OWN,50000.0,Not Verified,Dec-2015,debt_consolidation,KS,11.98,800.0,804.0,2.0,5.0,0.0,7518.0,48.5,11.0,Individual,2.0,0.0,0,2015
11000.0, 36 months,10+ years,MORTGAGE,85000.0,Not Verified,Dec-2015,credit_card,MA,15.0,755.0,759.0,0.0,12.0,0.0,9488.0,20.1,31.0,Individual,0.0,0.0,0,2015
20000.0, 36 months,6 years,MORTGAGE,55000.0,Not Verified,Dec-2015,debt_consolidation,TN,29.15,750.0,754.0,0.0,9.0,0.0,4851.0,23.8,23.0,Individual,1.0,0.0,0,2015
15000.0, 36 months,,RENT,80000.0,Not Verified,Dec-2015,debt_consolidation,VA,20.18,775.0,779.0,1.0,30.0,0.0,41593.0,21.4,47.0,Individual,2.0,0.0,0,2015
12000.0, 36 months,4 years,MORTGAGE,53750.0,Source Verified,Dec-2015,debt_consolidation,AZ,15.3,700.0,704.0,0.0,8.0,0.0,3172.0,17.2,19.0,Individual,2.0,0.0,0,2015
8000.0, 36 months,< 1 year,MORTGAGE,45000.0,Not Verified,Dec-2015,debt_consolidation,MI,21.23,670.0,674.0,0.0,28.0,0.0,11141.0,35.5,69.0,Individual,2.0,0.0,0,2015
12000.0, 36 months,3 years,RENT,40000.0,Not Verified,Dec-2015,credit_card,NJ,31.95,665.0,669.0,0.0,16.0,0.0,11008.0,41.4,22.0,Individual,0.0,0.0,0,2015
18000.0, 36 months,5 years,MORTGAGE,75000.0,Not Verified,Dec-2015,debt_consolidation,NH,25.65,715.0,719.0,1.0,12.0,0.0,7758.0,33.2,47.0,Individual,1.0,0.0,0,2015
3600.0, 36 months,< 1 year,MORTGAGE,85000.0,Source Verified,Dec-2015,debt_consolidation,VA,17.44,675.0,679.0,2.0,12.0,1.0,6952.0,28.7,23.0,Individual,1.0,1.0,0,2015
7200.0, 36 months,9 years,OWN,20000.0,Verified,Dec-2015,debt_consolidation,MA,13.21,705.0,709.0,1.0,8.0,0.0,7302.0,32.6,17.0,Individual,0.0,0.0,1,2015
15000.0, 60 months,4 years,RENT,77213.0,Source Verified,Dec-2015,credit_card,FL,18.17,670.0,674.0,2.0,17.0,1.0,59237.0,25.8,44.0,Individual,1.0,1.0,0,2015
5000.0, 36 months,6 years,OWN,72000.0,Not Verified,Dec-2015,other,NC,6.52,710.0,714.0,0.0,11.0,1.0,4838.0,56.3,20.0,Individual,2.0,1.0,0,2015
11550.0, 60 months,5 years,RENT,38000.0,Not Verified,Dec-2015,credit_card,OH,21.07,700.0,704.0,0.0,9.0,0.0,7179.0,39.7,12.0,Individual,0.0,0.0,1,2015
33600.0, 36 months,8 years,RENT,104000.0,Source Verified,Dec-2015,debt_consolidation,OH,14.01,690.0,694.0,2.0,14.0,0.0,28475.0,51.8,31.0,Individual,1.0,0.0,0,2015
17475.0, 36 months,2 years,RENT,39750.0,Not Verified,Dec-2015,debt_consolidation,IL,23.58,695.0,699.0,0.0,7.0,0.0,10987.0,52.3,13.0,Individual,0.0,0.0,1,2015
9000.0, 36 months,8 years,MORTGAGE,47000.0,Not Verified,Dec-2015,debt_consolidation,FL,8.43,675.0,679.0,0.0,12.0,0.0,9747.0,26.7,22.0,Individual,0.0,0.0,0,2015
12000.0, 60 months,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,debt_consolidation,KS,23.84,785.0,789.0,0.0,18.0,0.0,9786.0,13.4,37.0,Individual,2.0,0.0,0,2015
4000.0, 36 months,2 years,RENT,44500.0,Verified,Dec-2015,debt_consolidation,NE,15.83,670.0,674.0,0.0,4.0,1.0,502.0,4.2,24.0,Individual,3.0,1.0,0,2015
10500.0, 36 months,3 years,RENT,70100.0,Source Verified,Dec-2015,credit_card,KS,8.51,660.0,664.0,0.0,5.0,0.0,8280.0,77.4,10.0,Individual,0.0,0.0,0,2015
14000.0, 36 months,4 years,MORTGAGE,100000.0,Not Verified,Dec-2015,medical,OH,15.97,685.0,689.0,0.0,7.0,0.0,34250.0,36.1,14.0,Individual,2.0,0.0,0,2015
6000.0, 36 months,10+ years,MORTGAGE,105000.0,Not Verified,Dec-2015,car,OH,14.45,685.0,689.0,1.0,9.0,3.0,8353.0,65.3,11.0,Individual,1.0,0.0,0,2015
15000.0, 36 months,3 years,MORTGAGE,92000.0,Not Verified,Dec-2015,debt_consolidation,OR,13.89,680.0,684.0,1.0,7.0,2.0,12703.0,35.2,31.0,Individual,6.0,1.0,0,2015
12000.0, 36 months,4 years,MORTGAGE,39400.0,Not Verified,Dec-2015,debt_consolidation,CA,26.32,705.0,709.0,1.0,18.0,0.0,10495.0,34.6,25.0,Individual,2.0,0.0,0,2015
10000.0, 36 months,2 years,RENT,33000.0,Not Verified,Dec-2015,debt_consolidation,IN,21.75,710.0,714.0,0.0,12.0,1.0,8052.0,35.6,20.0,Individual,0.0,0.0,0,2015
4200.0, 36 months,2 years,RENT,32000.0,Source Verified,Dec-2015,other,TN,31.02,705.0,709.0,2.0,10.0,0.0,1294.0,11.7,16.0,Individual,0.0,0.0,0,2015
35000.0, 60 months,8 years,MORTGAGE,120000.0,Source Verified,Dec-2015,debt_consolidation,GA,35.69,700.0,704.0,0.0,25.0,0.0,13993.0,32.2,54.0,Individual,3.0,0.0,0,2015
5475.0, 36 months,10+ years,MORTGAGE,108000.0,Verified,Dec-2015,debt_consolidation,FL,33.47,670.0,674.0,2.0,11.0,0.0,3045.0,41.0,27.0,Individual,2.0,0.0,1,2015
6000.0, 36 months,3 years,OWN,38700.0,Source Verified,Dec-2015,debt_consolidation,NC,23.26,690.0,694.0,1.0,4.0,0.0,1960.0,19.2,10.0,Individual,0.0,0.0,0,2015
24000.0, 36 months,10+ years,MORTGAGE,75000.0,Source Verified,Dec-2015,debt_consolidation,RI,10.11,660.0,664.0,3.0,14.0,1.0,11763.0,39.5,25.0,Individual,3.0,1.0,0,2015
10000.0, 36 months,< 1 year,RENT,60000.0,Verified,Dec-2015,debt_consolidation,WA,3.3,715.0,719.0,0.0,5.0,0.0,6727.0,64.1,42.0,Individual,2.0,0.0,0,2015
6900.0, 36 months,10+ years,RENT,80000.0,Source Verified,Dec-2015,debt_consolidation,NY,9.57,665.0,669.0,3.0,10.0,0.0,4091.0,35.9,16.0,Individual,0.0,0.0,0,2015
15975.0, 36 months,4 years,MORTGAGE,58800.0,Not Verified,Dec-2015,debt_consolidation,CA,20.45,665.0,669.0,1.0,11.0,0.0,9196.0,71.8,23.0,Individual,1.0,0.0,0,2015
21600.0, 36 months,9 years,MORTGAGE,54000.0,Verified,Dec-2015,debt_consolidation,WI,17.64,690.0,694.0,1.0,9.0,0.0,26438.0,60.8,30.0,Individual,6.0,0.0,0,2015
14400.0, 60 months,3 years,RENT,73320.0,Source Verified,Dec-2015,debt_consolidation,NY,17.02,660.0,664.0,0.0,9.0,0.0,12105.0,96.8,19.0,Individual,0.0,0.0,1,2015
8000.0, 36 months,< 1 year,RENT,42000.0,Not Verified,Dec-2015,other,OR,23.26,705.0,709.0,1.0,8.0,0.0,4414.0,40.5,10.0,Individual,0.0,0.0,0,2015
7000.0, 36 months,2 years,RENT,83000.0,Source Verified,Dec-2015,debt_consolidation,DE,21.96,680.0,684.0,0.0,11.0,0.0,17866.0,83.1,28.0,Individual,0.0,0.0,0,2015
20000.0, 36 months,< 1 year,OWN,55000.0,Not Verified,Dec-2015,debt_consolidation,AL,36.94,740.0,744.0,1.0,18.0,1.0,24365.0,43.0,32.0,Individual,0.0,0.0,0,2015
25825.0, 60 months,6 years,RENT,68000.0,Verified,Dec-2015,debt_consolidation,MD,31.68,675.0,679.0,1.0,18.0,0.0,20769.0,69.7,33.0,Individual,0.0,0.0,1,2015
24575.0, 60 months,10+ years,MORTGAGE,92000.0,Verified,Dec-2015,debt_consolidation,OH,24.16,725.0,729.0,0.0,8.0,0.0,25225.0,79.3,27.0,Individual,3.0,0.0,0,2015
3200.0, 36 months,10+ years,RENT,30407.0,Not Verified,Dec-2015,medical,MN,20.61,710.0,714.0,0.0,5.0,0.0,1061.0,30.3,13.0,Individual,0.0,0.0,0,2015
22875.0, 60 months,10+ years,MORTGAGE,137000.0,Not Verified,Dec-2015,debt_consolidation,CA,32.3,700.0,704.0,0.0,22.0,0.0,44174.0,45.8,62.0,Individual,5.0,0.0,0,2015
35000.0, 36 months,< 1 year,MORTGAGE,125000.0,Source Verified,Dec-2015,debt_consolidation,MN,24.19,710.0,714.0,0.0,15.0,0.0,47300.0,51.9,26.0,Individual,8.0,0.0,0,2015
2400.0, 36 months,2 years,MORTGAGE,52000.0,Verified,Dec-2015,home_improvement,IN,28.38,670.0,674.0,1.0,16.0,1.0,7763.0,41.5,18.0,Individual,0.0,0.0,0,2015
25000.0, 36 months,,MORTGAGE,132000.0,Not Verified,Dec-2015,debt_consolidation,MI,13.83,745.0,749.0,1.0,14.0,0.0,33231.0,48.0,32.0,Individual,3.0,0.0,0,2015
8800.0, 36 months,2 years,RENT,55000.0,Not Verified,Dec-2015,credit_card,MA,35.52,715.0,719.0,2.0,20.0,0.0,11331.0,37.5,29.0,Individual,0.0,0.0,0,2015
2500.0, 36 months,,RENT,16488.0,Not Verified,Dec-2015,debt_consolidation,CT,38.06,770.0,774.0,1.0,12.0,0.0,2469.0,8.2,18.0,Individual,0.0,0.0,0,2015
8000.0, 36 months,1 year,RENT,50000.0,Not Verified,Dec-2015,credit_card,MI,14.86,715.0,719.0,0.0,21.0,0.0,6452.0,35.1,64.0,Individual,0.0,0.0,0,2015
20000.0, 36 months,10+ years,MORTGAGE,78000.0,Not Verified,Dec-2015,debt_consolidation,AL,27.1,705.0,709.0,0.0,15.0,0.0,40405.0,48.2,37.0,Individual,6.0,0.0,1,2015
35000.0, 60 months,10+ years,MORTGAGE,110000.0,Source Verified,Dec-2015,major_purchase,MD,13.39,695.0,699.0,0.0,19.0,0.0,23315.0,47.2,32.0,Individual,2.0,0.0,1,2015
15000.0, 36 months,,MORTGAGE,45000.0,Verified,Dec-2015,debt_consolidation,CA,10.67,710.0,714.0,0.0,10.0,0.0,16173.0,43.5,20.0,Individual,2.0,0.0,0,2015
16000.0, 36 months,1 year,MORTGAGE,70000.0,Not Verified,Dec-2015,debt_consolidation,NJ,8.78,705.0,709.0,1.0,7.0,0.0,15986.0,76.1,25.0,Individual,1.0,0.0,1,2015
10800.0, 60 months,3 years,RENT,40000.0,Source Verified,Dec-2015,debt_consolidation,FL,26.13,665.0,669.0,0.0,7.0,2.0,8192.0,71.2,14.0,Individual,0.0,2.0,0,2015
7500.0, 36 months,10+ years,OWN,15000.0,Source Verified,Dec-2015,debt_consolidation,FL,37.2,685.0,689.0,0.0,8.0,1.0,7933.0,66.7,14.0,Individual,0.0,1.0,0,2015
16000.0, 36 months,5 years,RENT,63000.0,Not Verified,Dec-2015,debt_consolidation,NY,35.19,670.0,674.0,1.0,12.0,0.0,20672.0,46.0,22.0,Individual,0.0,0.0,1,2015
9000.0, 36 months,10+ years,MORTGAGE,49000.0,Not Verified,Dec-2015,credit_card,CA,21.63,755.0,759.0,0.0,18.0,0.0,8775.0,11.7,29.0,Individual,0.0,0.0,0,2015
9500.0, 36 months,10+ years,RENT,28000.0,Not Verified,Dec-2015,other,MI,27.95,695.0,699.0,0.0,7.0,0.0,1844.0,55.9,14.0,Individual,0.0,0.0,0,2015
10000.0, 36 months,2 years,OWN,25000.0,Not Verified,Dec-2015,debt_consolidation,CA,29.91,740.0,744.0,0.0,16.0,0.0,9053.0,22.9,30.0,Individual,0.0,0.0,1,2015
6000.0, 36 months,10+ years,MORTGAGE,49000.0,Not Verified,Dec-2015,debt_consolidation,CO,17.92,795.0,799.0,0.0,10.0,0.0,2212.0,4.4,16.0,Individual,1.0,0.0,0,2015
15600.0, 60 months,10+ years,MORTGAGE,52000.0,Not Verified,Dec-2015,major_purchase,NY,15.37,720.0,724.0,1.0,6.0,0.0,12329.0,69.3,13.0,Individual,3.0,0.0,0,2015
35000.0, 36 months,< 1 year,OWN,90000.0,Source Verified,Dec-2015,debt_consolidation,CA,13.36,750.0,754.0,0.0,11.0,0.0,15448.0,42.9,26.0,Individual,3.0,0.0,0,2015
